idx,cx,cy,cz,xmin,ymin,zmin,xmax,ymax,zmax,dx,dy,dz,vol_mm3
0,-1499.99999999995,-1640.0,-760.0000000000141,-1700.0000000999516,-1700.0000001,-1460.0000001000146,-1299.9999998999483,-1579.9999999,-59.99999990001353,400.00000020000334,120.00000020000016,1400.000000200001,14743915.045613628
1,-299.9999999999591,-1639.99999999999,-1335.00000000001,-1300.000000099961,-1700.0000001000183,-1460.0000001000112,700.0000001000428,-1579.9999998999617,-1209.9999999000088,2000.0000002000038,120.00000020005655,250.00000020000243,14443915.04561361
2,1200.00000000005,-1639.99999999995,-760.000000000006,699.9999999000476,-1700.0000000999642,-1460.0000001000067,1700.0000001000526,-1579.9999998999358,-59.999999900005456,1000.000000200005,120.00000020002835,1400.0000002000013,32711745.13684082
3,200.0000000000459,-1639.99999999996,-450.000000000008,-300.0000000999559,-1700.0000000999712,-840.0000001000086,700.0000001000477,-1579.9999998999488,-59.99999990000739,1000.0000002000036,120.00000020002244,780.0000002000012,19071745.136840858
4,1640.00000000003,-1129.99999999994,-760.0000000000061,1579.9999999000163,-1580.0000000999419,-1460.0000001000064,1700.0000001000437,-679.9999998999381,-59.99999990000575,120.00000020002744,900.0000002000038,1400.0000002000006,17580013.056153074
5,1585.00000000003,-1129.9999999999416,-760.0000000000061,1579.9999999000167,-1570.0000000999419,-1450.0000001000064,1590.0000001000433,-689.9999998999411,-69.99999990000592,10.000000200026534,880.0000002000007,1380.0000002000006,12144000.0
6,1650.00000000003,-1129.9999999999457,-760.0000000000059,1609.999999900029,-1135.000000099947,-1450.000000100006,1690.000000100031,-1124.9999998999442,-69.99999990000592,80.00000020000198,10.000000200002887,1380.0000002000002,1104000.0
7,1665.0259478936414,-897.9427516169162,-760.0000000000063,1650.0518956872588,-898.4427517169167,-1419.9481043127703,1680.000000100024,-897.4427515169157,-100.05189568724225,29.948104412765133,1.0000002000010682,1319.896208625528,1056.6371259117736
8,1665.0259478936414,-902.0572483829633,-760.0000000000063,1650.0518956872588,-902.5572484829638,-1419.9481043127703,1680.000000100024,-901.5572482829626,-100.05189568724225,29.948104412765133,1.0000002000011818,1319.896208625528,1056.637125911768
9,1662.908183172743,-903.3286978069723,-760.0000000000063,1645.8163662454624,-903.8286979069729,-1424.1836337545667,1680.000000100024,-902.8286977069716,-95.8163662454458,34.18363385456155,1.0000002000012955,1328.367267509121,1066.2923599403814
10,1661.5993325950526,-899.9999999999393,-760.0000000000064,1643.1986650900815,-900.50000009994,-1426.8013349099479,1680.000000100024,-899.4999998999386,-93.19866509006485,36.80133500994248,1.0000002000014092,1333.602669819883,1072.2596227402469
11,1662.908183172743,-896.6713021929063,-760.0000000000063,1645.8163662454624,-897.171302292907,-1424.1836337545667,1680.0000001000237,-896.1713020929056,-95.8163662454458,34.18363385456132,1.0000002000012955,1328.367267509121,1066.2923599403755
12,1662.3801441436399,-897.1684405196273,-760.0000000000063,1644.7602881872558,-897.668440619628,-1425.2397118127733,1680.0000001000237,-896.6684404196267,-94.76028818723924,35.239711912767916,1.0000002000012955,1330.479423625534,1068.6997758127347
13,1661.6920406738327,-901.0815594802523,-760.0000000000063,1643.3840812476417,-901.581559580253,-1426.6159187523874,1680.000000100024,-900.5815593802516,-93.3840812476251,36.615918852382265,1.0000002000014092,1333.2318375047623,1071.8369515201778
14,1663.4935189455643,-903.4999999999393,-760.0000000000063,1646.9870377911047,-904.0000000999399,-1423.0129622089244,1680.000000100024,-902.9999998999386,-96.98703779108813,33.012962308919214,1.0000002000012955,1326.0259244178362,1063.6237188889825
15,1665.2949972172958,-901.0815594802523,-760.0000000000064,1650.5899943345676,-901.5815595802528,-1419.4100056654615,1680.000000100024,-900.5815593802516,-100.58999433455115,29.41000576545639,1.0000002000011818,1318.8200113309103,1055.4104862574222
16,1664.6068937474886,-897.1684405196272,-760.0000000000064,1649.2137873949534,-897.6684406196279,-1420.7862126050757,1680.0000001000237,-896.6684404196267,-99.21378739493701,30.786212705070284,1.0000002000011818,1321.5724252101386,1058.5476619652
17,1665.2949972172958,-898.9184405196272,-760.0000000000064,1650.5899943345676,-899.4184406196277,-1419.4100056654615,1680.000000100024,-898.4184404196267,-100.58999433455115,29.41000576545639,1.0000002000010682,1318.8200113309103,1055.4104862574268
18,1664.6068937474888,-902.8315594802523,-760.0000000000064,1649.2137873949534,-903.3315595802529,-1420.7862126050757,1680.000000100024,-902.3315593802516,-99.21378739493701,30.78621270507051,1.0000002000012955,1321.5724252101386,1058.5476619651986
19,1662.3801441436399,-902.8315594802523,-760.0000000000063,1644.7602881872558,-903.331559580253,-1425.2397118127733,1680.000000100024,-902.3315593802516,-94.76028818723924,35.23971191276814,1.0000002000014092,1330.479423625534,1068.6997758127377
20,1661.6920406738327,-898.9184405196273,-760.0000000000063,1643.3840812476417,-899.418440619628,-1426.6159187523874,1680.0000001000237,-898.4184404196267,-93.3840812476251,36.61591885238204,1.0000002000012955,1333.2318375047623,1071.836951520182
21,1663.4935189455641,-896.4999999999393,-760.0000000000063,1646.9870377911047,-897.0000000999399,-1423.0129622089244,1680.0000001000237,-895.9999998999386,-96.98703779108813,33.012962308918986,1.0000002000012955,1326.0259244178362,1063.623718888982
22,1661.961089997487,-897.9427516169163,-760.0000000000064,1643.9221798949504,-898.442751716917,-1426.0778201050787,1680.0000001000237,-897.4427515169157,-93.922179894934,36.077820205073294,1.0000002000012955,1332.1556402101446,1070.6103118658928
