face,xmin,ymin,zmin,xmax,ymax,zmax,cx,cy,cz
Xp,1599.9999999000322,-1595.0000000999905,-1450.0000000999503,1700.000000100068,-1249.4444445222125,-49.9999998999477,1650.00000000005,-1422.2222223111016,-749.999999999949
Xp,1599.9999999000322,-1239.4444445222125,-1450.0000000999503,1700.000000100068,-893.8888889444347,-49.9999998999477,1650.00000000005,-1066.6666667333236,-749.999999999949
Xp,1599.9999999000322,-883.8888889444347,-1450.0000000999503,1700.000000100068,-538.3333333666567,-49.9999998999477,1650.00000000005,-711.1111111555457,-749.999999999949
Xp,1599.9999999000322,-528.3333333666567,-1450.0000000999503,1700.000000100068,-182.7777777888789,-49.9999998999477,1650.00000000005,-355.5555555777678,-749.999999999949
Xp,1599.9999999000322,-172.7777777888789,-1450.0000000999503,1700.000000100068,172.7777777888989,-49.9999998999477,1650.00000000005,1.000444171950221e-11,-749.999999999949
Xp,1599.9999999000322,182.7777777888989,-1450.0000000999503,1700.000000100068,528.3333333666772,-49.9999998999477,1650.00000000005,355.555555577788,-749.999999999949
Xp,1599.9999999000322,538.3333333666772,-1450.0000000999503,1700.000000100068,883.888888944455,-49.9999998999477,1650.00000000005,711.111111155566,-749.999999999949
Xp,1599.9999999000322,893.888888944455,-1450.0000000999503,1700.000000100068,1239.4444445222327,-49.9999998999477,1650.00000000005,1066.6666667333438,-749.999999999949
Xp,1599.9999999000322,1249.4444445222327,-1450.0000000999503,1700.000000100068,1595.0000001000105,-49.9999998999477,1650.00000000005,1422.2222223111216,-749.999999999949
Yp,-1595.0000000999946,1599.9999998999706,-1450.0000000999635,-1238.3333334110994,1700.000000100014,-49.99999989981435,-1416.6666667555469,1649.9999999999923,-749.9999999998889
Yp,-1228.3333334110994,1599.9999998999706,-1450.0000000999635,-871.6666667222041,1700.000000100014,-49.99999989981435,-1050.0000000666519,1649.9999999999923,-749.9999999998889
Yp,-861.6666667222041,1599.9999998999706,-1450.0000000999635,-505.0000000333089,1700.000000100014,-49.99999989981435,-683.3333333777565,1649.9999999999923,-749.9999999998889
Yp,-495.0000000333089,1599.9999998999706,-1450.0000000999635,-138.33333334441363,1700.000000100014,-49.99999989981435,-316.66666668886126,1649.9999999999923,-749.9999999998889
